Các tỉnh thành,Mật độ dân số,Dân số trung bình,Tỷ lệ giới tính,Tỷ lệ gia tăng dân số,Lực lương lao động từ 15 tuổi trở lên,Vùng,Năm
Quảng Trị,129.3,613,97.3,0.8,346.2,Bắc Trung bộ và duyên hải miền Trung,2013
Thừa Thiên Huế,223.1,1122.7,97.6,0.79,636.6,Bắc Trung bộ và duyên hải miền Trung,2013
Đà Nẵng,767.7,986.8,97.3,2.12,527.6,Bắc Trung bộ và duyên hải miền Trung,2013
Quảng Nam,140.2,1463.2,95.7,0.71,858.2,Bắc Trung bộ và duyên hải miền Trung,2013
Quảng Ngãi,240,1236.3,97.4,0.52,726.2,Bắc Trung bộ và duyên hải miền Trung,2013
Bình Định,249.4,1509.3,95.1,0.46,920.1,Bắc Trung bộ và duyên hải miền Trung,2013
Phú Yên,174.3,882,100.2,0.67,545.4,Bắc Trung bộ và duyên hải miền Trung,2013
Khánh Hòa,227.8,1188.4,97.9,0.7,677,Bắc Trung bộ và duyên hải miền Trung,2013
Ninh Thuận,174.2,584.9,101.9,0.94,325.1,Bắc Trung bộ và duyên hải miền Trung,2013
Bình Thuận,153.5,1199.5,100.9,0.66,697,Bắc Trung bộ và duyên hải miền Trung,2013
Kon Tum,48.8,473.3,113.8,2.28,278.9,Tây Nguyên,2013
Gia Lai,87.5,1359.1,105.5,1.39,821.5,Tây Nguyên,2013
Đắk Lắk,138.1,1812.8,101.3,1.19,1077.6,Tây Nguyên,2013
Đắk Nông,85.2,555.1,109.3,3.42,349.2,Tây Nguyên,2013
Lâm Đồng,127.4,1245.4,99.6,1.09,722.2,Tây Nguyên,2013
Bình Phước,134,920.7,101.9,1.3,562.2,Đông Nam Bộ,2013
Tây Ninh,272,1096.9,96.9,0.66,647.9,Đông Nam Bộ,2013
Bình Dương,669,1802.5,93.3,4.13,1197.7,Đông Nam Bộ,2013
Đồng Nai,469.4,2772.7,95.6,2.4,1580,Đông Nam Bộ,2013
Bà Rịa - Vũng Tàu,526,1046.5,99.4,1.31,577.6,Đông Nam Bộ,2013
Hồ Chí Minh,3731.6,7820,93.2,2.08,4122.3,Đông Nam Bộ,2013
Long An,327.2,1469.9,98.7,0.65,898.1,Đồng bằng sông Cửu Long,2013
Tiền Giang,679,1703.4,96.3,0.65,1072.3,Đồng bằng sông Cửu Long,2013
Bến Tre,534.3,1260.6,96,0.13,775.8,Đồng bằng sông Cửu Long,2013
Trà Vinh,437.3,1023.9,96.6,0.54,607.9,Đồng bằng sông Cửu Long,2013
Vĩnh Long,682.7,1037.8,96.8,0.32,625.2,Đồng bằng sông Cửu Long,2013
Đồng Tháp,496.7,1678.4,98.8,0.2,986,Đồng bằng sông Cửu Long,2013
An Giang,608.8,2153.3,98.6,0.1,1275.8,Đồng bằng sông Cửu Long,2013
Kiên Giang,273.2,1734.3,100.7,0.61,990.8,Đồng bằng sông Cửu Long,2013
Cần Thơ,871.9,1228.5,98.7,0.83,698.6,Đồng bằng sông Cửu Long,2013
Hậu Giang,478.2,766.2,101.4,0.31,462.3,Đồng bằng sông Cửu Long,2013
Sóc Trăng,394,1304.7,98.3,0.24,729.3,Đồng bằng sông Cửu Long,2013
Bạc Liêu,353.9,873.6,98.5,0.5,504.5,Đồng bằng sông Cửu Long,2013
Cà Mau,229.3,1214.2,100.7,0.18,696.2,Đồng bằng sông Cửu Long,2013
Hà Nội,2134,7095.9,95,1.7,3832.4,Đồng bằng sông Hồng,2014
Vĩnh Phúc,842,1041.9,96.8,1.22,631.2,Đồng bằng sông Hồng,2014
Bắc Ninh,1375,1131.2,96.7,2.08,658.2,Đồng bằng sông Hồng,2014
Quảng Ninh,197,1199.4,100.5,1.01,697.2,Đồng bằng sông Hồng,2014
Hải Dương,1065,1763.2,95.8,0.65,1049.5,Đồng bằng sông Hồng,2014
Hải Phòng,1274,1946,98.7,1.08,1127.7,Đồng bằng sông Hồng,2014
Hưng Yên,1251,1158.1,97.3,0.56,705,Đồng bằng sông Hồng,2014
Thái Bình,1139,1788.7,93.7,0.03,1115.3,Đồng bằng sông Hồng,2014
Hà Nam,927,799.4,97.3,0.43,472.4,Đồng bằng sông Hồng,2014
Nam Định,1116,1845.6,96.1,0.31,1157.8,Đồng bằng sông Hồng,2014
Ninh Bình,679,935.8,96.2,0.93,585.8,Đồng bằng sông Hồng,2014
Hà Giang,100,788.8,100.4,1.68,505.3,Trung du và miền núi phía Bắc,2014
Cao Bằng,78,520.2,98,0.43,357.3,Trung du và miền núi phía Bắc,2014
Bắc Kạn,63,307.3,101,0.69,219.6,Trung du và miền núi phía Bắc,2014
Tuyên Quang,128,753.8,98.7,0.88,485.1,Trung du và miền núi phía Bắc,2014
Lào Cai,104,665.2,102.4,1.41,412.6,Trung du và miền núi phía Bắc,2014
Yên Bái,114,783.5,99.5,1.16,503.5,Trung du và miền núi phía Bắc,2014
Thái Nguyên,332,1173.2,97.2,1.49,715.9,Trung du và miền núi phía Bắc,2014
Lạng Sơn,91,753.7,100,0.53,505.1,Trung du và miền núi phía Bắc,2014
Bắc Giang,422,1624.5,98.7,1.03,1022.6,Trung du và miền núi phía Bắc,2014
Phú Thọ,385,1360.2,97.3,0.67,839.6,Trung du và miền núi phía Bắc,2014
Điện Biên,56,538.1,100.2,1.82,345.4,Trung du và miền núi phía Bắc,2014
Lai Châu,46,415.3,101.1,2.38,251.1,Trung du và miền núi phía Bắc,2014
Sơn La,82,1166.4,101.5,1.38,734.7,Trung du và miền núi phía Bắc,2014
Hòa Bình,177,817.4,98.5,0.86,550.7,Trung du và miền núi phía Bắc,2014
Thanh Hóa,314,3496.1,97.9,0.53,2231.8,Bắc Trung bộ và duyên hải miền Trung,2014
Nghệ An,184,3037.4,98.7,0.87,1953.1,Bắc Trung bộ và duyên hải miền Trung,2014
Hà Tĩnh,209,1255.3,96.5,0.49,727.8,Bắc Trung bộ và duyên hải miền Trung,2014
Quảng Bình,108,868.2,100.2,0.56,528.9,Bắc Trung bộ và duyên hải miền Trung,2014
Quảng Trị,130,616.4,97.1,0.55,348.6,Bắc Trung bộ và duyên hải miền Trung,2014
Thừa Thiên Huế,225,1131.8,98.1,0.8,662.6,Bắc Trung bộ và duyên hải miền Trung,2014
Đà Nẵng,784,1007.7,96.6,2.11,541.2,Bắc Trung bộ và duyên hải miền Trung,2014
Quảng Nam,141,1471.8,95.7,0.59,890.3,Bắc Trung bộ và duyên hải miền Trung,2014
Quảng Ngãi,241,1241.4,97.1,0.42,753.8,Bắc Trung bộ và duyên hải miền Trung,2014
Bình Định,250,1514.5,95.5,0.34,931.4,Bắc Trung bộ và duyên hải miền Trung,2014
Phú Yên,175,887.4,100.1,0.61,538.8,Bắc Trung bộ và duyên hải miền Trung,2014
Khánh Hòa,229,1196.9,97.6,0.71,691,Bắc Trung bộ và duyên hải miền Trung,2014
Ninh Thuận,176,590.4,101.8,0.94,333.9,Bắc Trung bộ và duyên hải miền Trung,2014
Bình Thuận,155,1207.4,100.2,0.66,705.4,Bắc Trung bộ và duyên hải miền Trung,2014
Kon Tum,50,484.2,113.9,2.32,288.4,Tây Nguyên,2014
Gia Lai,89,1377.8,99.3,1.37,833.3,Tây Nguyên,2014
Đắk Lắk,140,1833.3,101.3,1.13,1092.7,Tây Nguyên,2014
Đắk Nông,88,571.3,102.3,2.91,353.5,Tây Nguyên,2014
Lâm Đồng,129,1259.3,100.3,1.11,748.9,Tây Nguyên,2014
Bình Phước,136,932.5,99.1,1.29,564.2,Đông Nam Bộ,2014
Tây Ninh,274,1104.2,97.9,0.67,636.7,Đông Nam Bộ,2014
Bình Dương,695,1873.6,93.3,3.94,1268.7,Đông Nam Bộ,2014
Đồng Nai,481,2838.6,95,2.38,1627.5,Đông Nam Bộ,2014
Bà Rịa - Vũng Tàu,533,1059.5,99.7,1.24,537.4,Đông Nam Bộ,2014
Hồ Chí Minh,3809,7981.9,92.2,2.07,4188.5,Đông Nam Bộ,2014
Long An,329,1477.3,98.7,0.51,890.9,Đồng bằng sông Cửu Long,2014
Tiền Giang,684,1716.1,96.3,0.75,1050.8,Đồng bằng sông Cửu Long,2014
Bến Tre,535,1262.2,96.2,0.13,808.6,Đồng bằng sông Cửu Long,2014
Trà Vinh,440,1029.3,96.3,0.53,609.7,Đồng bằng sông Cửu Long,2014
Vĩnh Long,685,1041.5,97,0.36,627.6,Đồng bằng sông Cửu Long,2014
Đồng Tháp,498,1681.3,99.8,0.17,1016.8,Đồng bằng sông Cửu Long,2014
An Giang,610,2155.8,98.1,0.11,1218.3,Đồng bằng sông Cửu Long,2014
Kiên Giang,275,1745.5,100.4,0.64,1007.1,Đồng bằng sông Cửu Long,2014
Cần Thơ,879,1238.3,98.4,0.8,700,Đồng bằng sông Cửu Long,2014
Hậu Giang,480,768.4,99.5,0.28,453.3,Đồng bằng sông Cửu Long,2014
Sóc Trăng,395,1307.7,100.3,0.24,699.6,Đồng bằng sông Cửu Long,2014
Bạc Liêu,356,877.9,101.3,0.48,505.8,Đồng bằng sông Cửu Long,2014
Cà Mau,230,1216.4,100.6,0.18,700.1,Đồng bằng sông Cửu Long,2014
Hà Nội,2171,7216,95.6,1.51,3820.9,Đồng bằng sông Hồng,2015
Vĩnh Phúc,852,1054.5,96.8,1.21,631.4,Đồng bằng sông Hồng,2015
Bắc Ninh,1404,1154.7,96.8,2.07,661.7,Đồng bằng sông Hồng,2015
Quảng Ninh,199,1211.3,100.5,0.99,692.4,Đồng bằng sông Hồng,2015
Hải Dương,1072,1774.5,95.9,0.64,1037.5,Đồng bằng sông Hồng,2015
Hải Phòng,1285,1963.3,98.8,0.89,1128.1,Đồng bằng sông Hồng,2015
Hưng Yên,1257,1164.4,97,0.52,702.4,Đồng bằng sông Hồng,2015
Thái Bình,1139,1789.2,93.6,0.02,1110.8,Đồng bằng sông Hồng,2015
Hà Nam,931,802.7,97.7,0.42,472.1,Đồng bằng sông Hồng,2015
Nam Định,1119,1850.6,96.2,0.27,1150.5,Đồng bằng sông Hồng,2015
Ninh Bình,686,944.4,99.5,0.92,584.5,Đồng bằng sông Hồng,2015
Hà Giang,101,802,101.4,1.64,512.1,Trung du và miền núi phía Bắc,2015
Cao Bằng,78,522.4,97.8,0.86,360.9,Trung du và miền núi phía Bắc,2015
Bắc Kạn,64,313.1,98.9,1.89,223.5,Trung du và miền núi phía Bắc,2015
Tuyên Quang,130,760.3,97.8,0.87,485.5,Trung du và miền núi phía Bắc,2015
Lào Cai,106,674.5,102.2,1.41,422.5,Trung du và miền núi phía Bắc,2015
Yên Bái,115,792.7,99.8,1.22,512.5,Trung du và miền núi phía Bắc,2015
Thái Nguyên,337,1190.6,96.6,3.59,725.5,Trung du và miền núi phía Bắc,2015
Lạng Sơn,91,757.9,100.3,0.92,508.5,Trung du và miền núi phía Bắc,2015
Bắc Giang,426,1640.9,98.7,1.01,1036.1,Trung du và miền núi phía Bắc,2015
Phú Thọ,388,1369.7,97.3,0.76,822.7,Trung du và miền núi phía Bắc,2015
Điện Biên,57,547.8,100,1.81,353.2,Trung du và miền núi phía Bắc,2015
Lai Châu,47,425.1,99.2,2.2,255.9,Trung du và miền núi phía Bắc,2015
Sơn La,83,1182.4,101.2,1.8,753.1,Trung du và miền núi phía Bắc,2015
Hòa Bình,179,824.3,98.5,0.85,555,Trung du và miền núi phía Bắc,2015
Thanh Hóa,316,3514.2,98.6,0.46,2238.3,Bắc Trung bộ và duyên hải miền Trung,2015
Nghệ An,186,3063.9,99.3,1.4,1892,Bắc Trung bộ và duyên hải miền Trung,2015
Hà Tĩnh,210,1261.3,96.5,0.48,745.3,Bắc Trung bộ và duyên hải miền Trung,2015
Quảng Bình,108,872.9,100.2,0.55,520.4,Bắc Trung bộ và duyên hải miền Trung,2015
