ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
185,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Giáo dục và Đào tạo,"1,044,168"
186,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Giáo dục và Đào tạo,
187,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Giáo dục và Đào tạo,"127,077"
188,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Giáo dục và Đào tạo,
189,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Giáo dục và Đào tạo,"2,869"
190,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Giáo dục và Đào tạo,"4,367"
191,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Giáo dục và Đào tạo,"18,589"
192,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Giáo dục và Đào tạo,
193,2004,Chi thường xuyên,Chi khác,Bộ Giáo dục và Đào tạo,
194,2004,Chi chương trình mục tiêu,,Bộ Giáo dục và Đào tạo,"185,150"
195,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Nông nghiệp và PTNT,"1,273,904"
196,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Nông nghiệp và PTNT,"12,000"
197,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Nông nghiệp và PTNT,"216,209"
198,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Nông nghiệp và PTNT,"17,498"
199,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Nông nghiệp và PTNT,"228,038"
200,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Nông nghiệp và PTNT,
201,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Nông nghiệp và PTNT,364
202,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Nông nghiệp và PTNT,"255,974"
